Nom Gare,Code Gare,Type jour,Date,Annee,Ligne,Axe,Tranche horaire,Somme de Montants,mois,jour_semaine
MONTEREAU,87682302,DIM,2024-01-21,2024,R,R,Après 20h,200,1,Sunday
LES-ARDOINES,87492108,SAM,2025-08-02,2025,C,C,Après 20h,299,8,Saturday
SURESNES-MONT-VALERIEN,87382374,SAM,2024-01-20,2024,L,L2,Avant 6h,17,1,Saturday
LES-ARDOINES,87492108,SAM,2025-08-02,2025,C,C,De 16h à 20h,746,8,Saturday
MORMANT,87116087,DIM,2023-11-19,2023,P,P,De 6h à 10h,34,11,Sunday
LES-COQUETIERS,87113845,SAM,2021-11-09,2021,T4,T4,De 16h à 20h,222,11,Tuesday
MASSY-PALAISEAU,87393579,DIM,2025-09-02,2025,C,C,De 6h à 10h,113,9,Tuesday
LES-MUREAUX,87386680,SAM,2021-04-12,2021,J,J5,De 16h à 20h,586,4,Monday
MOULIN-GALANT,87681403,DIM,2024-03-03,2024,D,D,Après 20h,22,3,Sunday
LES-PAVILLONS-SOUS-BOIS,87113852,JOB,2021-09-21,2021,T4,T4,De 6h à 10h,699,9,Tuesday
MASSY-VERRIERES,87383281,JOB,2025-11-02,2025,C,C,De 10h à 16h,131,11,Sunday
LES-VALLEES,87386300,SAM,2024-01-20,2024,L,L3,De 16h à 20h,1575,1,Saturday
NANGIS,87116095,DIM,2023-11-19,2023,P,P,Après 20h,42,11,Sunday
LES-YVRIS-NOISY-LE-GRAND,87113803,DIM,2022-03-20,2022,E,E,De 10h à 16h,202,3,Sunday
MELUN,87682005,SAM,2024-02-03,2024,D,D,De 6h à 10h,833,2,Saturday
LIEUSAINT-MOISSY,87682153,DIM,2024-03-03,2024,D,D,De 10h à 16h,1411,3,Sunday
TOURNAN,87116210,JOB,2023-11-14,2023,P,P,De 16h à 20h,252,11,Tuesday
LISIERE-PEREIRE,87733683,JOB,2023-10-19,2023,T13,T13,De 10h à 16h,196,10,Thursday
MERY-SUR-OISE,87276667,DIM,2024-01-21,2024,H,H,Avant 6h,14,1,Sunday
LIVRY-SUR-SEINE,87682401,SAM,2024-01-20,2024,R,R,De 10h à 16h,61,1,Saturday
TRIEL-SUR-SEINE,87381806,SAM,2024-01-20,2024,J,J6,De 10h à 16h,337,1,Saturday
LOUVRES,87276253,DIM,2024-03-03,2024,D,D,De 10h à 16h,591,3,Sunday
NEUVILLE-UNIVERSITE,87334482,DIM,2022-11-20,2022,A,A,De 10h à 16h,601,11,Sunday
LUZARCHES,87276576,JOB,2024-01-16,2024,H,H,Avant 6h,26,1,Tuesday
MONTARGIS,87684001,SAM,2024-01-20,2024,R,R,Avant 6h,75,1,Saturday
MAGENTA,87281873,JOB,2022-03-22,2022,E,E,De 16h à 20h,20010,3,Tuesday
MONTGEROULT-COURCELLES,87381160,JOB,2024-01-16,2024,J,J6,Après 20h,0,1,Tuesday
MAISONS-ALFORT-ALFORTVILLE,87681155,JOB,2024-05-03,2024,D,D,De 6h à 10h,9767,5,Friday
NOISY-LE-ROI,87733659,SAM,2023-10-14,2023,T13,T13,De 10h à 16h,160,10,Saturday
MAISSE,87681486,JOB,2024-12-03,2024,D,D,Avant 6h,16,12,Tuesday
MONTREUIL,87382879,JOB,2024-01-16,2024,L,L2,De 16h à 20h,875,1,Tuesday
MALESHERBES,87684415,SAM,2024-02-03,2024,D,D,Avant 6h,26,2,Saturday
VANVES-MALAKOFF,87391532,DIM,2024-01-21,2024,N,N,Après 20h,88,1,Sunday
MANTES-LA-JOLIE,87381509,DIM,2021-05-12,2021,J,J5,De 10h à 16h,611,5,Wednesday
